"England","Bedfordshire"
"England","Berkshire"
"England","Buckinghamshire"
"England","Cambridgeshire"
"England","Cheshire"
"England","Cornwall"
"England","Cumbria"
"England","Derbyshire"
"England","Devon"
"England","Dorset"
"England","Durham"
"England","Essex"
"England","Gloucestershire"
"England","Greater London"
"England","Greater Manchester"
"England","Hampshire"
"England","Herefordshire"
"England","Hertfordshire"
"England","Humberside"
"England","Isle of Wight"
"England","Kent"
"England","Lancashire"
"England","Leicestershire"
"England","Lincolnshire"
"England","Merseyside"
"England","Norfolk"
"England","Northamptonshire"
"England","Northumberland"
"England","North Yorkshire"
"England","Nottinghamshire"
"England","Oxfordshire"
"England","Rutland"
"England","Shropshire"
"England","Somerset"
"England","South Yorkshire"
"England","Staffordshire"
"England","Suffolk"
"England","Surrey"
"England","Sussex"
"England","Tyne and Wear"
"England","Warwickshire"
"England","West Midlands"
"England","West Yorkshire"
"England","Wiltshire"
"England","Worcestershire"
"Ireland","Co Carlow"
"Ireland","Co Cavan"
"Ireland","Co Clare"
"Ireland","Co Cork"
"Ireland","Co Donegal"
"Ireland","Co Dublin"
"Ireland","Co Galway"
"Ireland","Co Kerry"
"Ireland","Co Kildare"
"Ireland","Co Kilkenny"
"Ireland","Co Laois"
"Ireland","Co Leitrim"
"Ireland","Co Limerick"
"Ireland","Co Longford"
"Ireland","Co Louth"
"Ireland","Co Mayo"
"Ireland","Co Meath"
"Ireland","Co Monaghan"
"Ireland","Co Offaly"
"Ireland","Co Roscommon"
"Ireland","Co Sligo"
"Ireland","Co Tipperary"
"Ireland","Co Waterford"
"Ireland","Co Westmeath"
"Ireland","Co Wexford"
"Ireland","Co Wicklow"
"Isle of Man","(Isle of Man)"
"Northern Ireland","Co Antrim"
"Northern Ireland","Co Armagh"
"Northern Ireland","Co Derry"
"Northern Ireland","Co Down"
"Northern Ireland","Co Fermanagh"
"Northern Ireland","Co Tyrone"
"Scotland","Aberdeenshire"
"Scotland","Angus"
"Scotland","Argylle and Bute"
"Scotland","Ayrshire"
"Scotland","Clackmannanshire"
"Scotland","Dumfries and Galloway"
"Scotland","Dunbartonshire"
"Scotland","Dundee"
"Scotland","East Lothian"
"Scotland","Edinburgh"
"Scotland","Falkirk"
"Scotland","Fife"
"Scotland","Glasgow"
"Scotland","Highlands"
"Scotland","Inverclyde"
"Scotland","Lanarkshire"
"Scotland","Midlothian"
"Scotland","Moray"
"Scotland","Orkney Islands"
"Scotland","Perth and Kinross"
"Scotland","Renfrewshire"
"Scotland","Scottish Borders"
"Scotland","Shetland Islands"
"Scotland","Stirling"
"Scotland","West Lothian"
"Scotland","Western Isles"
"Wales","Anglesey"
"Wales","Blaenau Gwent"
"Wales","Bridgend"
"Wales","Caerphilly"
"Wales","Cardiff"
"Wales","Carmarthenshire"
"Wales","Ceredigion"
"Wales","Conwy"
"Wales","Denbighshire"
"Wales","Flintshire"
"Wales","Gwynedd"
"Wales","Merthyr Tydfil"
"Wales","Monmouthshire"
"Wales","Neath Port Talbot"
"Wales","Newport"
"Wales","Pembrokeshire"
"Wales","Powys"
"Wales","Rhondda Cynon Taf"
"Wales","Swansea"
"Wales","Torfaen"
"Wales","Vale of Glamorgan"
"Wales","Wrexham"
